Symbol;reqID
A;1
AA;2
AAL;3
AAP;4
AAPL;5
ABB;6
ABBV;7
ABC;8
ABEV;9
ABMD;10
ABNB;11
ABT;12
ACGL;13
ACGLN;14
ACHC;15
ACI;1
ACM;2
ACN;3
ADBE;4
ADC;5
ADI;6
ADM;7
ADP;8
ADSK;9
ADT;10
AEE;11
AEG;12
AEM;13
AEP;14
AER;15
AES;1
AFG;2
AFL;3
AFRM;4
AGCO;5
AGL;6
AGNCN;7
AGR;8
AIG;9
AIG-PA;10
AIRC;11
AIZ;12
AJG;13
AKAM;14
ALB;15
ALC;1
ALGN;2
ALK;3
ALL;4
ALLE;5
ALL-PB;6
ALLY;7
ALNY;8
ALV;9
AM;10
AMAT;11
AMCR;12
AMD;13
AME;14
AMGN;15
AMH;1
AMH-PG;2
AMKR;3
AMN;4
AMOV;5
AMT;6
AMX;7
AMZN;8
AN;9
ANET;10
ANSS;11
AON;12
AOS;13
APA;14
APD;15
APH;1
APLS;2
APP;3
APTV;4
AQN;5
AR;6
ARE;7
ARGX;8
ARMK;9
ARW;10
ASH;11
ASML;12
ASND;13
ASR;14
ASX;15
ATH-PA;1
ATO;2
ATR;3
ATVI;4
AU;5
AVB;6
AVGO;7
AVTR;8
AVY;9
AWK;10
AXON;11
AXP;12
AXTA;13
AYI;14
AZN;15
AZO;1
AZPN;2
BA;3
BABA;4
BAC;5
BAC-PB;6
BAH;7
BALL;8
BAP;9
BATRA;10
BATRK;11
BAX;12
BBBY;13
BBD;14
BBDO;15
BBVA;1
BBWI;2
BBY;3
BC;4
BCE;5
BCH;6
BCS;7
BDX;8
BEKE;9
BEP;10
BEPC;11
BERY;12
BF-A;13
BF-B;14
BG;15
BGNE;1
BHP;2
BIDU;3
BIIB;4
BILL;5
BIO;6
BIO-B;7
BIP;8
BJ;9
BKI;10
BKNG;11
BKR;12
BLCO;13
BLD;14
BLDR;15
BML-PG;1
BMO;2
BMRN;3
BMY;4
BNS;5
BNTX;6
BOKF;7
BP;8
BPOP;9
BPYPP;10
BR;11
BRK-A;12
BRKR;13
BRO;14
BROS;15
BRX;1
BSAC;2
BSX;3
BSY;4
BTI;5
BUD;6
BURL;7
BWA;8
BWXT;9
BXP;10
BYD;11
C;12
CABO;13
CACC;14
CACI;15
CADE;1
CAE;2
CAG;3
CAH;4
CAJ;5
CAR;6
CARR;7
CASY;8
CAT;9
CB;10
CBOE;11
CBRE;12
CBSH;13
CCCS;14
CCEP;15
CCI;1
CCJ;2
CCK;3
CCL;4
CDAY;5
CDNS;6
CDW;7
CE;8
CEA;9
CEG;10
CELH;11
CF;12
CFG;13
CFLT;14
CFR;15
CGNX;1
CHD;2
CHDN;3
CHE;4
CHH;5
CHK;6
CHKP;7
CHRD;8
CHRW;9
CHT;10
CHTR;11
CHWY;12
CHX;13
CI;14
CIB;15
CIEN;1
CIG;2
CINF;3
CIVI;4
CL;5
CLF;6
CLH;7
CLR;8
CLVT;9
CLX;10
CM;11
CMA;12
CMC;13
CMCSA;14
CME;15
CMG;1
CMI;2
CMS;3
CMSA;4
CMS-PB;5
CNA;6
CNC;7
CNHI;8
CNI;9
CNM;10
CNP;11
CNQ;12
CNXC;13
COF;14
COIN;15
COLD;1
COO;2
COP;3
COST;4
COTY;5
CP;6
CPB;7
C-PJ;8
CPNG;9
CPRI;10
CPRT;11
CPT;12
CQP;13
CR;14
CRH;15
CRL;1
CRM;2
CRWD;3
CS;4
CSAN;5
CSCO;6
CSGP;7
CSL;8
CSX;9
CTA-PA;10
CTAS;11
CTLT;12
CTRA;13
CTSH;14
CTVA;15
CUBE;1
CUK;2
CVE;3
CVS;4
CVX;5
CW;6
CWEN;7
CX;8
CYBR;9
CZR;10
D;11
DAL;12
DAR;13
DASH;14
DB;15
DBX;1
DCI;2
DCP;3
DD;4
DDOG;5
DDS;6
DE;7
DECK;8
DELL;9
DEO;10
DFS;11
DG;12
DGX;13
DHI;14
DHR;15
DINO;1
DIS;2
DISH;3
DKNG;4
DKS;5
DLB;6
DLO;7
DLR;8
DLR-PJ;9
DLTR;10
DNA;11
DNB;12
DOCS;13
DOCU;14
DOOO;15
DOV;1
DOW;2
DOX;3
DPZ;4
DRI;5
DRVN;6
DSGX;7
DT;8
DTE;9
DTM;10
DUK;11
DVA;12
DVN;13
DXC;14
DXCM;15
E;1
EA;2
EBAY;3
EBR;4
EC;5
ECL;6
ED;7
EDR;8
EFX;9
EGP;10
EHC;11
EIX;12
EL;13
ELAN;14
ELS;15
ELV;1
EME;2
EMN;3
EMR;4
ENB;5
ENBA;6
ENLC;7
ENPH;8
ENTG;9
EOG;10
EPAM;11
EPD;12
EQH;13
EQIX;14
EQNR;15
EQR;1
EQT;2
ERIC;3
ERIE;4
ES;5
ESLT;6
ESS;7
ESTC;8
ET;9
ETN;10
ETR;11
ETSY;12
EVRG;13
EW;14
EWBC;15
EXAS;1
EXC;2
EXEL;3
EXLS;4
EXPD;5
EXPE;6
EXR;7
F;8
FAF;9
FANG;10
FAST;11
FBHS;12
FCN;13
FCNCA;14
FCX;15
FDS;1
FDX;2
FE;3
FERG;4
FFIN;5
FFIV;6
FHN;7
FICO;8
FIS;9
FISV;10
FITB;11
FIVE;12
FLEX;13
FLO;14
FLT;15
FMC;1
FMS;2
FMX;3
FNB;4
FND;5
FNF;6
FNV;7
FOX;8
FR;9
FRC;10
FRC-PH;11
FRC-PI;12
FRT;13
FSLR;14
FSV;15
FTNT;1
FTS;2
FTV;3
FUTU;4
FWONA;5
FYBR;6
G;7
GBCI;8
GD;9
GDDY;10
GE;11
GFI;12
GFL;13
GFS;14
GGB;15
GGG;1
GIB;2
GIL;3
GILD;4
GIS;5
GL;6
GLOB;7
GLPI;8
GLW;9
GM;10
GMAB;11
GME;12
GMED;13
GNRC;14
GNTX;15
GOLD;1
GOOG;2
GPC;3
GPK;4
GPN;5
GPS;6
GRAB;7
GRFS;8
GRMN;9
GS;10
GSK;11
GS-PA;12
GTLB;13
GTLS;14
GWW;15
H;1
HAL;2
HALO;3
HAS;4
HBAN;5
HCA;6
HCP;7
HD;8
HDB;9
HEI;10
HES;11
HESM;12
HIG;13
HII;14
HIW;15
HLI;1
HLN;2
HLT;3
HMC;4
HOG;5
HOLX;6
HOMB;7
HON;8
HOOD;9
HP;10
HPE;11
HPQ;12
HQY;13
HR;14
HRB;15
HRL;1
HSBC;2
HSIC;3
HST;4
HSY;5
HTHT;6
HTZ;7
HUBB;8
HUBS;9
HUM;10
HUN;11
HWM;12
HZNP;13
IAA;14
IBKR;15
IBM;1
IBN;2
ICE;3
ICL;4
ICLR;5
IDA;6
IDXX;7
IEP;8
IEX;9
IFF;10
IHG;11
ILMN;12
IMO;13
INCY;14
INFA;15
INFY;1
ING;2
INGR;3
INSP;4
INTC;5
INTU;6
INVH;7
IONS;8
IOT;9
IP;10
IPG;11
IQV;12
IR;13
IRDM;14
IRM;15
ISRG;1
IT;2
ITT;3
ITUB;4
ITW;5
IX;6
J;7
JAZZ;8
JBHT;9
JBL;10
JCI;11
JD;12
JEF;13
JHX;14
JKHY;15
JLL;1
JNJ;2
JNPR;3
JPM;4
JSM;5
K;6
KB;7
KBR;8
KDP;9
KEP;10
KEY;11
KEYS;12
KHC;13
KIM;14
KLAC;15
KMB;1
KMI;2
KMX;3
KNSL;4
KNX;5
KO;6
KR;7
KRC;8
KRTX;9
KSS;10
KT;11
L;12
LAD;13
LAMR;14
LBRDA;15
LBTYA;1
LCID;2
LDOS;3
LEA;4
LECO;5
LEGN;6
LEN;7
LEVI;8
LFUS;9
LH;10
LHCG;11
LHX;12
LI;13
LII;14
LIN;15
LKQ;1
LLY;2
LMT;3
LNC;4
LNG;5
LNT;6
LNTH;7
LNW;8
LOGI;9
LOW;10
LPLA;11
LRCX;12
LSCC;13
LSI;14
LSTR;15
LSXMA;1
LTHM;2
LULU;3
LUMN;4
LUV;5
LVS;6
LW;7
LYB;8
LYFT;9
LYG;10
LYV;11
M;12
MA;13
MAA;14
MANH;15
MAR;1
MAS;2
MASI;3
MAT;4
MBI;5
MBLY;6
MCD;7
MCHP;8
MCK;9
MCO;10
MDB;11
MDLZ;12
MDT;13
MDU;14
MEDP;15
MELI;1
MET;2
META;3
MFC;4
MFG;5
MGA;6
MGM;7
MGY;8
MHK;9
MIDD;10
MKC;11
MKL;12
MKSI;13
MKTX;14
MLM;15
MMC;1
MMM;2
MMP;3
MNST;4
MO;5
MOH;6
MORN;7
MOS;8
MP;9
MPC;10
MPLX;11
MPW;12
MPWR;13
MRK;14
MRNA;15
