Symbol;reqID;Name;Industry;Sector
A;1;Agilent Technologies Inc;Diagnostics & Research;Healthcare
AA;2;Alcoa Corp;Aluminum;Basic Materials
AAL;3;American Airlines Group Inc;Airlines;Industrials
AAP;4;Advance Auto Parts Inc;Specialty Retail;Consumer Cyclical
AAPL;5;Apple Inc;Consumer Electronics;Technology
ABB;6;ABB Ltd ADR;Electrical Equipment & Parts;Industrials
ABBV;7;AbbVie Inc;Drug Manufacturers - General;Healthcare
ABC;8;AmerisourceBergen Corp;Medical Distribution;Healthcare
ABEV;9;Ambev S.A. ADR;Beverages - Brewers;Consumer Defensive
ABMD;10;Abiomed Inc;Medical Devices;Healthcare
ABNB;11;Airbnb Inc Cl A;Travel Services;Consumer Cyclical
ABT;12;Abbott Laboratories;Medical Devices;Healthcare
ACGL;13;Arch Capital Group Ltd;Insurance - Diversified;Financial Services
ACGLN;14;Arch Capital Group Ltd Dep. Pfd (Rep. 1/1000th 4.550 Pfd Series G);Insurance - Diversified;Financial Services
ACHC;15;Acadia Healthcare Co Inc;Medical Care Facilities;Healthcare
ACI;16;Albertsons Cos. Inc;Grocery Stores;Consumer Defensive
ACM;17;AECOM;Engineering & Construction;Industrials
ACN;18;Accenture Plc Cl A;Information Technology Services;Technology
ADBE;19;Adobe Inc;Software - Infrastructure;Technology
ADC;20;Agree Realty Corp;REIT - Retail;Real Estate
ADI;21;Analog Devices Inc;Semiconductors;Technology
ADM;22;Archer Daniels Midland Co;Farm Products;Consumer Defensive
ADP;23;Automatic Data Processing Inc;Staffing & Employment Services;Industrials
ADSK;24;Autodesk Inc;Software - Application;Technology
ADT;25;ADT Inc;Security & Protection Services;Industrials
AEE;26;Ameren Corp;Utilities - Regulated Electric;Utilities
AEG;27;Aegon N.V. ADR;Insurance - Diversified;Financial Services
AEM;28;Agnico Eagle Mines Ltd;Gold;Basic Materials
AEP;29;American Electric Power Co Inc;Utilities - Regulated Electric;Utilities
AER;30;AerCap Holdings N.V.;Rental & Leasing Services;Industrials
AES;31;AES Corp;Utilities - Diversified;Utilities
AFG;32;American Financial Group Inc;Insurance - Property & Casualty;Financial Services
AFL;33;AFLAC Inc;Insurance - Life;Financial Services
AFRM;34;Affirm Holdings Inc Cl A;Software - Infrastructure;Technology
AGCO;35;AGCO Corp;Farm & Heavy Construction Machinery;Industrials
AGL;36;agilon health inc.;Medical Care Facilities;Healthcare
AGNCN;37;AGNC Investment Corp Dep. Pfd (Rep. 1/1000th Pfd Series C);REIT - Mortgage;Real Estate
AGR;38;Avangrid Inc;Utilities - Regulated Electric;Utilities
AIG;39;American International Group Inc;Insurance - Diversified;Financial Services
AIG-PA;40;American International Group Inc;Insurance - Diversified;Financial Services
AIRC;41;Apartment Income REIT Corp;REIT - Residential;Real Estate
AIZ;42;Assurant Inc;Insurance - Specialty;Financial Services
AJG;43;Arthur J. Gallagher & Co;Insurance Brokers;Financial Services
AKAM;44;Akamai Technologies Inc;Software - Infrastructure;Technology
ALB;45;Albemarle Corp;Specialty Chemicals;Basic Materials
ALC;46;Alcon Inc;Medical Instruments & Supplies;Healthcare
ALGN;47;Align Technology Inc;Medical Devices;Healthcare
ALK;48;Alaska Air Group Inc;Airlines;Industrials
ALL;49;Allstate Corp;Insurance - Property & Casualty;Financial Services
ALLE;50;Allegion Plc;Security & Protection Services;Industrials
ALL-PB;51;The Allstate Corp;;
ALLY;52;Ally Financial Inc;Credit Services;Financial Services
ALNY;53;Alnylam Pharmaceuticals Inc;Biotechnology;Healthcare
ALV;54;Autoliv Inc;Auto Parts;Consumer Cyclical
AM;55;Antero Midstream Corp;Oil & Gas Midstream;Energy
AMAT;56;Applied Materials Inc;Semiconductor Equipment & Materials;Technology
AMCR;57;Amcor Plc;Packaging & Containers;Consumer Cyclical
AMD;58;Advanced Micro Devices Inc;Semiconductors;Technology
AME;59;Ametek Inc;Specialty Industrial Machinery;Industrials
AMGN;60;Amgen Inc;Drug Manufacturers - General;Healthcare
AMH;61;American Homes 4 Rent Cl A;REIT - Residential;Real Estate
AMH-PG;62;American Homes 4 Rent;REIT - Residential;Real Estate
AMKR;63;Amkor Technology Inc;Semiconductors;Technology
AMN;64;AMN Healthcare Services Inc;Medical Care Facilities;Healthcare
AMOV;65;America Movil S.A.B. de C.V. ADR;Telecom Services;Communication Services
AMT;66;American Tower REIT;REIT - Specialty;Real Estate
AMX;67;America Movil S.A.B. de C.V. ADR Series L;Telecom Services;Communication Services
AMZN;68;Amazon.com Inc;Internet Retail;Consumer Cyclical
AN;69;AutoNation Inc;Auto & Truck Dealerships;Consumer Cyclical
ANET;70;Arista Networks Inc;Computer Hardware;Technology
ANSS;71;Ansys Inc;Software - Application;Technology
AON;72;Aon Plc;Insurance Brokers;Financial Services
AOS;73;A.O. Smith Corp;Specialty Industrial Machinery;Industrials
APA;74;APA Corp;Oil & Gas E&P;Energy
APD;75;Air Products & Chemicals Inc;Specialty Chemicals;Basic Materials
APH;76;Amphenol Corp Cl A;Electronic Components;Technology
APLS;77;Apellis Pharmaceuticals Inc;Biotechnology;Healthcare
APP;78;Applovin Corp Cl A;Software - Application;Technology
APTV;79;Aptiv Plc;Auto Parts;Consumer Cyclical
AQN;80;Algonquin Power & Utilities Corp;Utilities - Renewable;Utilities
AR;81;Antero Resources Corp;Oil & Gas E&P;Energy
ARE;82;Alexandria Real Estate Equities Inc;REIT - Office;Real Estate
