Symbol,reqID,Date,Open,High,Low,Close,Volume
XELAP,1,2023-01-17,3.25,3.35,3.1699,3.26,1900
XELAP,1,2023-01-18,3.22,3.22,3.2,3.2001,1400
XELAP,1,2023-01-19,3.32,3.32,2.89,2.89,10800
XELAP,1,2023-01-20,2.9,3.0656,2.826,2.85,8300
XELAP,1,2023-01-23,2.83,2.95,2.7,2.93,3100
XELAP,1,2023-01-24,2.75,2.95,2.68,2.74,13800
XELAP,1,2023-01-25,2.67,2.75,2.5,2.62,7200
XELAP,1,2023-01-26,2.62,2.73,2.562,2.69,7100
XELAP,1,2023-01-27,2.6945,2.7,2.51,2.51,3100
XELAP,1,2023-01-30,2.18,2.59,2.18,2.2,28500
XELAP,1,2023-01-31,2.31,2.4,1.95,2.18,3700
XELAP,1,2023-02-01,2.29,2.29,1.95,2.2381,7000
XELAP,1,2023-02-02,2.2684,2.27,1.9501,2.0,31900
XELAP,1,2023-02-03,2.2,2.2,1.975,1.975,17900
XELAP,1,2023-02-06,2.1,2.26,2.07,2.07,12900
XELAP,1,2023-02-07,2.11,2.11,2.03,2.06,4300
XELAP,1,2023-02-08,2.065,2.1,1.92,1.92,8500
XELAP,1,2023-02-09,2.09,2.09,1.775,1.775,17800
XELAP,1,2023-02-10,2.03,2.05,1.75,1.8498,10400
XELAP,1,2023-02-13,1.75,2.11,1.75,1.84,4300
XELAP,1,2023-02-14,1.96,2.08,1.77,2.08,8400
DIP,3,2023-01-17,25.74,25.74,25.555,25.555,1900
DIP,3,2023-01-18,25.76,25.76,25.1,25.1,2500
DIP,3,2023-01-19,24.86,24.88,24.77,24.77,1000
DIP,3,2023-01-20,25.01,25.035,25.01,25.035,800
DIP,3,2023-01-23,25.2,25.21,25.12,25.12,200
DIP,3,2023-01-24,25.02,25.2,25.02,25.18,500
DIP,3,2023-01-25,25.17,25.285,25.17,25.285,1600
DIP,3,2023-01-26,25.3,25.3,25.08,25.24,1300
DIP,3,2023-01-27,25.2,25.325,25.2,25.325,100
DIP,3,2023-01-30,25.4,25.4,25.35,25.35,100
DIP,3,2023-01-31,25.42,25.69,25.41,25.69,5400
DIP,3,2023-02-01,25.5,26.055,25.5,26.055,800
DIP,3,2023-02-02,26.15,26.16,26.02,26.095,200
DIP,3,2023-02-03,26.09,26.09,25.99,25.99,1500
DIP,3,2023-02-06,25.87,25.87,25.85,25.85,800
DIP,3,2023-02-07,26.02,26.2,26.02,26.2,400
DIP,3,2023-02-08,26.25,26.25,25.53,25.53,500
DIP,3,2023-02-09,26.2,26.2,25.805,25.805,800
DIP,3,2023-02-10,25.83,25.935,25.74,25.935,1000
DIP,3,2023-02-13,26.18,26.2,26.17,26.2,300
DIP,3,2023-02-14,26.25,26.35,26.06,26.34,2200
WTFCP,5,2023-01-17,25.9,26.04,25.67,25.67,14600
WTFCP,5,2023-01-18,25.9,26.2,25.72,25.99,22200
WTFCP,5,2023-01-19,26.01,26.25,25.9,25.98,15600
WTFCP,5,2023-01-20,25.99,26.11,25.78,25.99,17900
WTFCP,5,2023-01-23,26.08,26.08,25.79,26.0,8900
WTFCP,5,2023-01-24,26.0,26.3,25.8,25.89,9100
WTFCP,5,2023-01-25,25.84,26.2,25.84,26.04,6500
WTFCP,5,2023-01-26,25.93,26.19,25.9,25.97,18100
WTFCP,5,2023-01-27,25.87,26.24,25.82,25.935,20000
WTFCP,5,2023-01-30,25.87,26.25,25.87,26.05,8500
WTFCP,5,2023-01-31,25.91,26.29,25.91,26.05,44400
WTFCP,5,2023-02-01,25.98,26.5,25.98,26.47,14700
WTFCP,5,2023-02-02,26.35,26.76,26.19,26.43,9300
WTFCP,5,2023-02-03,26.2,26.6,26.1,26.1,10800
WTFCP,5,2023-02-06,26.0,26.35,26.0,26.17,3200
WTFCP,5,2023-02-07,26.16,26.17,25.91,25.98,13600
WTFCP,5,2023-02-08,26.02,26.02,25.82,25.89,10800
WTFCP,5,2023-02-09,25.98,25.98,25.52,25.63,5700
WTFCP,5,2023-02-10,25.64,25.85,25.5,25.84,8600
WTFCP,5,2023-02-13,25.87,25.9,25.71,25.87,5700
WTFCP,5,2023-02-14,25.85,26.09,25.85,25.98,7000
HTLFP,6,2023-01-17,25.93,26.0,25.85,25.94,1800
HTLFP,6,2023-01-18,25.98,25.98,25.7,25.8,400
HTLFP,6,2023-01-19,26.0,26.0,25.6,25.61,6000
HTLFP,6,2023-01-20,25.95,25.95,25.65,25.78,4300
HTLFP,6,2023-01-23,25.61,25.62,25.61,25.61,1500
HTLFP,6,2023-01-24,25.7,25.9,25.7,25.88,2800
HTLFP,6,2023-01-25,25.67,25.82,25.67,25.815,900
HTLFP,6,2023-01-26,25.78,25.94,25.66,25.69,1700
HTLFP,6,2023-01-27,25.66,25.81,25.66,25.68,1300
HTLFP,6,2023-01-30,25.65,25.9,25.65,25.68,3000
HTLFP,6,2023-01-31,25.67,25.85,25.66,25.66,4300
HTLFP,6,2023-02-01,25.66,25.97,25.65,25.65,4400
HTLFP,6,2023-02-02,25.67,25.97,25.67,25.97,7100
HTLFP,6,2023-02-03,25.7,26.0,25.67,25.67,2400
HTLFP,6,2023-02-06,25.7,25.85,25.66,25.66,1000
HTLFP,6,2023-02-07,25.76,25.77,25.65,25.65,1200
HTLFP,6,2023-02-08,25.79,25.98,25.73,25.98,2200
HTLFP,6,2023-02-09,25.97,25.97,25.68,25.75,3700
HTLFP,6,2023-02-10,25.84,25.84,25.8,25.8,500
HTLFP,6,2023-02-13,25.8,26.33,25.75,26.16,9500
HTLFP,6,2023-02-14,26.15,26.41,25.77,26.01,10400
BWAQR,7,2023-01-17,0.08,0.08,0.08,0.08,0
BWAQR,7,2023-01-18,0.08,0.08,0.08,0.08,250000
BWAQR,7,2023-01-19,0.08,0.08,0.08,0.08,0
BWAQR,7,2023-01-20,0.08,0.08,0.08,0.08,0
BWAQR,7,2023-01-23,0.08,0.08,0.08,0.08,0
BWAQR,7,2023-01-24,0.081,0.081,0.081,0.081,14100
BWAQR,7,2023-01-25,0.081,0.081,0.081,0.081,100
BWAQR,7,2023-01-26,0.081,0.081,0.081,0.081,0
BWAQR,7,2023-01-27,0.081,0.081,0.081,0.081,0
BWAQR,7,2023-01-30,0.081,0.081,0.081,0.081,0
BWAQR,7,2023-01-31,0.081,0.081,0.081,0.081,0
BWAQR,7,2023-02-01,0.1,0.1,0.1,0.1,100000
BWAQR,7,2023-02-02,0.1,0.1,0.1,0.1,0
BWAQR,7,2023-02-03,0.1,0.1,0.1,0.1,0
BWAQR,7,2023-02-06,0.1,0.1,0.1,0.1,0
BWAQR,7,2023-02-07,0.11,0.11,0.11,0.11,25500
BWAQR,7,2023-02-08,0.11,0.11,0.11,0.11,0
BWAQR,7,2023-02-09,0.11,0.11,0.11,0.11,730000
BWAQR,7,2023-02-10,0.11,0.11,0.11,0.11,0
BWAQR,7,2023-02-13,0.11,0.11,0.11,0.11,0
BWAQR,7,2023-02-14,0.11,0.11,0.11,0.11,0
COMSP,8,2023-01-17,1.8,1.8,1.8,1.8,100
COMSP,8,2023-01-18,1.9,1.9,1.9,1.9,100
COMSP,8,2023-01-19,1.9,1.9,1.9,1.9,0
COMSP,8,2023-01-20,1.9,1.9,1.9,1.9,0
COMSP,8,2023-01-23,1.9,1.9,1.9,1.9,0
COMSP,8,2023-01-24,2.4306,2.4306,2.4306,2.4306,100
COMSP,8,2023-01-25,2.4306,2.4306,2.4306,2.4306,0
COMSP,8,2023-01-26,2.4299,2.43,2.1,2.15,500
COMSP,8,2023-01-27,2.15,2.15,2.15,2.15,0
COMSP,8,2023-01-30,2.15,2.15,2.15,2.15,0
COMSP,8,2023-01-31,2.3265,2.3265,2.15,2.15,1100
COMSP,8,2023-02-01,2.15,2.15,2.15,2.15,0
COMSP,8,2023-02-02,2.15,2.15,2.15,2.15,0
COMSP,8,2023-02-03,2.15,2.15,2.15,2.15,0
COMSP,8,2023-02-06,2.74,3.0,2.74,3.0,300
COMSP,8,2023-02-07,2.845,3.0,2.845,3.0,200
COMSP,8,2023-02-08,2.95,2.95,2.95,2.95,100
COMSP,8,2023-02-09,2.99,3.0,2.97,3.0,400
COMSP,8,2023-02-10,3.0,3.05,2.54,2.55,1100
COMSP,8,2023-02-13,2.66,3.51,2.66,3.3,6700
COMSP,8,2023-02-14,2.39,2.6,2.16,2.6,6100
BWBBP,9,2023-01-17,21.2,21.2,21.05,21.19,600
BWBBP,9,2023-01-18,21.19,21.19,21.19,21.19,0
BWBBP,9,2023-01-19,21.25,21.4,21.2,21.2,1800
BWBBP,9,2023-01-20,20.87,20.87,20.82,20.8201,1900
BWBBP,9,2023-01-23,20.95,21.4,20.8224,20.8224,4200
BWBBP,9,2023-01-24,20.95,21.0,20.7001,20.7001,3400
BWBBP,9,2023-01-25,20.1,23.69,20.1,21.9,4600
BWBBP,9,2023-01-26,21.7,22.69,21.7,22.69,1000
BWBBP,9,2023-01-27,22.5,22.5,21.875,22.45,800
BWBBP,9,2023-01-30,21.85,22.4,21.2,21.2,1800
BWBBP,9,2023-01-31,21.5,22.3,21.45,21.5,2700
BWBBP,9,2023-02-01,21.51,21.51,21.51,21.51,100
BWBBP,9,2023-02-02,21.51,21.51,21.51,21.51,100
BWBBP,9,2023-02-03,21.49,21.49,21.49,21.49,100
BWBBP,9,2023-02-06,21.625,21.7,21.6154,21.69,1300
BWBBP,9,2023-02-07,21.25,21.54,21.25,21.3136,2400
BWBBP,9,2023-02-08,21.2594,21.855,21.25,21.515,2200
BWBBP,9,2023-02-09,21.16,21.25,21.16,21.25,4700
BWBBP,9,2023-02-10,21.65,21.7999,21.65,21.7999,900
BWBBP,9,2023-02-13,21.77,21.77,21.25,21.25,300
BWBBP,9,2023-02-14,20.88,20.88,20.88,20.88,200
MNSBP,10,2023-01-17,25.9,25.9,25.9,25.9,0
MNSBP,10,2023-01-18,25.9,25.9,25.9,25.9,0
MNSBP,10,2023-01-19,25.26,25.4,25.25,25.27,1000
MNSBP,10,2023-01-20,26.0,26.0,25.99,26.0,100
MNSBP,10,2023-01-23,25.95,26.03,25.93,26.025,4800
MNSBP,10,2023-01-24,26.0,26.15,25.99,26.0,1300
MNSBP,10,2023-01-25,26.0,26.0,26.0,26.0,0
MNSBP,10,2023-01-26,26.0,26.0,26.0,26.0,0
MNSBP,10,2023-01-27,25.98,25.99,25.47,25.85,1300
MNSBP,10,2023-01-30,25.77,25.77,25.77,25.77,100
MNSBP,10,2023-01-31,26.0,26.0,26.0,26.0,500
MNSBP,10,2023-02-01,25.55,25.55,25.5,25.5,2600
MNSBP,10,2023-02-02,25.5,25.5,25.5,25.5,0
MNSBP,10,2023-02-03,25.67,25.8,25.67,25.8,400
MNSBP,10,2023-02-06,25.67,25.8,25.66,25.8,200
MNSBP,10,2023-02-07,25.8,25.8,25.8,25.8,0
MNSBP,10,2023-02-08,25.8,25.8,25.8,25.8,0
MNSBP,10,2023-02-09,25.53,25.59,25.53,25.58,1000
MNSBP,10,2023-02-10,25.58,25.58,25.58,25.58,0
MNSBP,10,2023-02-13,25.58,25.58,25.58,25.58,0
MNSBP,10,2023-02-14,25.52,25.8,25.52,25.8,400
GROM,11,2023-01-17,1.53,1.59,1.43,1.53,1237300
GROM,11,2023-01-18,1.48,1.54,1.34,1.41,822900
GROM,11,2023-01-19,1.37,1.93,1.33,1.62,4576100
GROM,11,2023-01-20,1.55,1.89,1.39,1.72,5466500
GROM,11,2023-01-23,1.66,2.33,1.55,2.22,8256200
GROM,11,2023-01-24,3.24,3.77,2.56,3.2,50336800
GROM,11,2023-01-25,2.3,2.63,2.02,2.06,6240000
GROM,11,2023-01-26,2.0,2.14,1.81,1.88,2455300
GROM,11,2023-01-27,1.87,2.59,1.86,2.05,6046000
GROM,11,2023-01-30,1.98,2.19,1.9,2.03,2036200
GROM,11,2023-01-31,2.03,2.3,2.0128,2.15,2688200
GROM,11,2023-02-01,2.16,2.18,1.91,2.07,1304600
GROM,11,2023-02-02,2.05,2.16,2.0,2.03,1457300
GROM,11,2023-02-03,1.89,2.04,1.85,1.89,830600
GROM,11,2023-02-06,1.9,1.91,1.75,1.81,634700
GROM,11,2023-02-07,1.79,1.7956,1.63,1.64,666500
GROM,11,2023-02-08,1.63,1.6831,1.58,1.62,439000
GROM,11,2023-02-09,1.67,1.67,1.53,1.57,341500
GROM,11,2023-02-10,1.5,1.52,1.41,1.46,597100
GROM,11,2023-02-13,1.49,1.49,1.4,1.41,323700
GROM,11,2023-02-14,1.37,1.42,1.33,1.39,391200
EFSCP,13,2023-01-17,17.88,17.9,17.12,17.76,20900
EFSCP,13,2023-01-18,17.88,18.73,17.75,18.12,5400
EFSCP,13,2023-01-19,18.0,18.74,17.85,18.23,2200
EFSCP,13,2023-01-20,18.2,19.09,18.2,18.725,4300
EFSCP,13,2023-01-23,18.48,19.0,18.35,18.43,6300
EFSCP,13,2023-01-24,18.45,19.41,18.45,19.41,9100
EFSCP,13,2023-01-25,19.0,19.53,18.7,18.71,9300
EFSCP,13,2023-01-26,19.5,19.75,19.0,19.41,17300
EFSCP,13,2023-01-27,19.56,20.4,19.56,20.0,3300
EFSCP,13,2023-01-30,19.7,19.7,19.35,19.5,7600
EFSCP,13,2023-01-31,19.65,19.86,19.5,19.65,1900
EFSCP,13,2023-02-01,19.65,20.25,19.65,19.75,4900
EFSCP,13,2023-02-02,19.75,20.95,19.75,20.95,900
EFSCP,13,2023-02-03,19.25,21.18,19.25,20.0,6600
EFSCP,13,2023-02-06,19.54,20.49,19.25,19.5,10000
EFSCP,13,2023-02-07,21.0,22.01,19.65,20.725,1600
EFSCP,13,2023-02-08,20.0,20.0,19.99,20.0,2300
EFSCP,13,2023-02-09,20.9,20.9,19.74,19.74,4100
EFSCP,13,2023-02-10,19.88,20.1,19.3,19.4,4300
EFSCP,13,2023-02-13,19.34,19.35,19.01,19.11,5600
EFSCP,13,2023-02-14,19.19,19.3,19.09,19.3,4000
BXRX,15,2023-01-17,3.44,3.5499,3.24,3.49,164900
BXRX,15,2023-01-18,3.56,3.5899,3.31,3.31,125000
BXRX,15,2023-01-19,3.24,3.3899,3.05,3.05,88800
BXRX,15,2023-01-20,3.07,3.47,3.04,3.19,226300
BXRX,15,2023-01-23,3.28,3.31,3.0,3.15,129100
BXRX,15,2023-01-24,6.14,6.89,4.05,4.17,33705100
BXRX,15,2023-01-25,3.93,3.93,3.3818,3.45,1424000
BXRX,15,2023-01-26,3.33,3.45,3.03,3.08,729900
BXRX,15,2023-01-27,3.05,3.25,3.0,3.02,485100
BXRX,15,2023-01-30,3.0,3.16,2.82,3.01,304400
BXRX,15,2023-01-31,3.01,3.05,2.91,2.95,224300
BXRX,15,2023-02-01,3.02,3.19,2.8701,3.11,399100
BXRX,15,2023-02-02,3.08,3.32,2.99,3.28,300500
BXRX,15,2023-02-03,3.37,3.74,3.23,3.4,846600
BXRX,15,2023-02-06,3.4,3.4,3.16,3.29,246700
BXRX,15,2023-02-07,3.21,3.44,3.11,3.41,298400
BXRX,15,2023-02-08,3.47,3.47,3.2001,3.25,150000
BXRX,15,2023-02-09,3.31,3.31,2.95,2.99,181800
BXRX,15,2023-02-10,2.91,2.9539,2.66,2.8,213200
BXRX,15,2023-02-13,2.83,2.83,2.49,2.51,228000
BXRX,15,2023-02-14,2.51,2.6465,2.42,2.57,150900
OTRKP,16,2023-01-17,0.9401,0.9403,0.8001,0.8976,11500
OTRKP,16,2023-01-18,1.37,1.54,1.105,1.31,339100
OTRKP,16,2023-01-19,1.31,1.48,1.18,1.48,22700
OTRKP,16,2023-01-20,1.4914,1.69,1.385,1.6,17700
OTRKP,16,2023-01-23,1.65,1.74,1.398,1.66,61100
OTRKP,16,2023-01-24,1.67,2.06,1.56,2.06,49500
OTRKP,16,2023-01-25,2.12,2.12,1.9,1.98,48000
OTRKP,16,2023-01-26,2.11,2.213,2.0,2.15,35200
OTRKP,16,2023-01-27,2.15,2.22,2.06,2.18,16300
OTRKP,16,2023-01-30,2.08,2.2,2.0799,2.16,12700
OTRKP,16,2023-01-31,2.1499,2.15,2.01,2.04,6600
OTRKP,16,2023-02-01,1.975,1.975,1.47,1.8,27500
OTRKP,16,2023-02-02,1.69,1.961,1.5601,1.9,8500
OTRKP,16,2023-02-03,1.81,1.93,1.75,1.85,4400
OTRKP,16,2023-02-06,1.84,2.0,1.77,1.94,15700
OTRKP,16,2023-02-07,1.94,1.94,1.65,1.73,3100
OTRKP,16,2023-02-08,1.73,1.73,1.68,1.68,2800
OTRKP,16,2023-02-09,1.68,1.72,1.51,1.68,3400
OTRKP,16,2023-02-10,1.67,1.67,1.55,1.66,2000
OTRKP,16,2023-02-13,1.5,1.5168,1.26,1.49,5500
OTRKP,16,2023-02-14,1.43,1.4899,1.15,1.47,4800
WHLRP,17,2023-01-17,1.9168,2.03,1.9,2.03,400
WHLRP,17,2023-01-18,1.77,1.9179,1.77,1.9,700
WHLRP,17,2023-01-19,1.86,1.9,1.64,1.9,6300
WHLRP,17,2023-01-20,1.6416,1.8999,1.6301,1.83,2300
WHLRP,17,2023-01-23,1.8199,2.1699,1.73,1.9919,17100
WHLRP,17,2023-01-24,1.9864,1.9864,1.795,1.8299,12000
WHLRP,17,2023-01-25,1.79,1.9011,1.79,1.9,1500
WHLRP,17,2023-01-26,1.9,1.9128,1.705,1.7999,21500
WHLRP,17,2023-01-27,1.75,1.81,1.74,1.74,10300
WHLRP,17,2023-01-30,1.75,1.85,1.71,1.7499,9900
WHLRP,17,2023-01-31,1.98,1.98,1.98,1.98,100
WHLRP,17,2023-02-01,1.95,2.13,1.911,1.935,3700
WHLRP,17,2023-02-02,1.974,2.08,1.9577,2.07,10400
WHLRP,17,2023-02-03,1.96,2.015,1.96,1.98,4900
WHLRP,17,2023-02-06,1.95,1.9567,1.94,1.94,3300
WHLRP,17,2023-02-07,1.85,1.913,1.66,1.85,5200
WHLRP,17,2023-02-08,1.995,1.995,1.6,1.66,11700
WHLRP,17,2023-02-09,1.67,1.67,1.55,1.6301,6500
WHLRP,17,2023-02-10,1.62,1.72,1.59,1.61,4000
WHLRP,17,2023-02-13,1.73,1.73,1.73,1.73,100
WHLRP,17,2023-02-14,1.98,1.98,1.62,1.676,1700
INM,18,2023-01-17,1.85,2.01,1.79,2.01,294900
INM,18,2023-01-18,2.01,2.059,1.84,1.88,211400
INM,18,2023-01-19,1.82,1.95,1.7,1.79,362900
INM,18,2023-01-20,1.87,2.25,1.87,2.12,784800
INM,18,2023-01-23,2.01,2.0526,1.92,1.99,290300
INM,18,2023-01-24,1.99,2.03,1.92,1.96,177200
INM,18,2023-01-25,1.89,1.9483,1.87,1.92,110500
INM,18,2023-01-26,1.96,1.98,1.83,1.91,172700
INM,18,2023-01-27,1.88,1.95,1.7807,1.8,207800
INM,18,2023-01-30,1.78,1.8,1.71,1.79,155100
INM,18,2023-01-31,1.78,1.9,1.76,1.84,204300
INM,18,2023-02-01,1.85,1.88,1.7848,1.88,106100
