reqID,Symbol
1,AXLA
2,APE
3,SPCE
4,BOIL
5,MARA
6,UNG
7,BBBY
8,TSLL
9,VLON
10,SOXS
11,NIO
12,SPXU
13,AMC
14,ATNX
15,GOEV
16,PGY
17,LCID
18,PLTR
19,UVXY
20,YANG
21,GLYC
22,GNS
23,VOD
24,HEXO
25,SH
26,APLT
27,QBTS
28,XPEV
29,RDW
30,RIOT
31,FSLY
32,WE
33,NEXI
34,EBS
35,OPEN
36,BTBT
37,QID
38,INZY
39,DKNG
40,HUT
41,CAN
42,DCFC
43,INPX
44,FUBO
45,CRDO
46,SPXS
47,TWM
48,SLV
49,ENLT
50,CISO
51,SOBR
52,AMAM
53,APPH
54,BITO
55,ACB
56,CYH
57,GRTX
58,TOPS
59,PSQ
60,GOLD
61,NUBI
62,UVIX
63,VXX
64,STEM
65,BITF
66,FBIO
67,HOTH
68,TALS
69,VTRS
70,VIXY
71,NOK
72,LABD
73,BTCY
74,VALE
75,KGC
76,GTHX
77,MPW
78,GTE
79,CIFR
80,SVC
81,BARK
82,ARBK
83,MMAT
84,DB
85,AQN
86,GGB
87,TELL
88,SABR
89,RBBN
90,NEX
91,RCM
92,LQDA
93,ORAN
94,HIBS
95,GDXD
96,JDST
97,VERU
98,DUST
99,YPF
100,BDRY
101,BYND
102,ASXC
103,ASPN
104,MREO
105,ADXN
106,GLOP
107,ESTE
108,SENS
109,EOSE
110,DDL
111,AGRO
112,DPRO
113,HPCO
114,VXRT
115,LYLT
116,OSUR
117,KC
118,REZI
119,CFMS
120,GRIL
121,EMKR
122,WPRT
123,VKTX
124,VGR
125,NRDS
126,CAPR
127,SPWR
128,BFRG
129,TTCF
130,OPI
131,ZH
132,MGNI
133,SOUN
134,NFTG
135,LSDI
136,OPAD
137,MARK
138,MNSO
139,DMTK
140,LUNR
141,SERA
142,TERN
143,SRZN
144,VS
145,OPGN
146,HYZN
147,ALDX
148,AQST
149,BBAI
150,GFAI
151,HARP
152,MKFG
153,ONVO
154,IREN
155,BTCM
156,FLJ
157,CGEN
158,INOD
159,AREC
160,BKKT
161,AAOI
162,CONL
163,CFRX
164,KERN
165,DHC
166,CTOS
167,ATOS
168,BZFD
169,THCH
170,IFBD
171,PSNL
172,NGL
173,MOXC
174,CRBP
175,LUCY
176,SBEV
177,CJJD
178,MICT
179,MGNX
180,SDIG
181,LTRY
182,VOR
183,BAER
184,WISA
185,NRSN
186,BLZE
187,FUSN
188,BOXL
189,NOA
190,KNDI
191,SNCR
192,RSLS
193,NLS
194,MGOL
195,ARBE
196,LMFA
197,POL
198,MLTX
199,RVSN
200,CHCI
201,TFFP
202,NTIP
203,ACER
204,BWAY
205,DGHI
206,TBIO
207,JSPR
208,HUDI
209,CYCC
210,THTX
211,WAVD
212,BERZ
213,ALGS
214,BOXD
215,ACHV
216,BJDX
