reqID,Symbol,Date,Open,High,Low,Close,Volume
1,AMAM,2023-02-16 18:05:00,2.53,2.54,2.5134,2.54,88000
1,AMAM,2023-02-16 18:10:00,2.54,2.58,2.5399,2.5785,170400
1,AMAM,2023-02-16 18:15:00,2.575,2.62,2.57,2.6,136400
1,AMAM,2023-02-16 18:20:00,2.6001,2.64,2.6,2.62,157600
1,AMAM,2023-02-16 18:25:00,2.62,2.65,2.6,2.62,87600
1,AMAM,2023-02-16 18:30:00,2.61,2.65,2.61,2.62,77800
1,AMAM,2023-02-16 18:35:00,2.6214,2.6499,2.57,2.57,115100
1,AMAM,2023-02-16 18:40:00,2.5899,2.64,2.57,2.6292,117200
1,AMAM,2023-02-16 18:45:00,2.6295,2.7,2.62,2.66,143400
1,AMAM,2023-02-16 18:50:00,2.65,2.67,2.6,2.615,120300
1,AMAM,2023-02-16 18:55:00,2.61,2.6279,2.5806,2.595,71700
1,AMAM,2023-02-16 19:00:00,2.5907,2.67,2.59,2.6499,61000
1,AMAM,2023-02-16 19:05:00,2.6501,2.68,2.65,2.65,144900
1,AMAM,2023-02-16 19:10:00,2.66,2.68,2.65,2.669,58900
1,AMAM,2023-02-16 19:15:00,2.6665,2.73,2.66,2.705,326500
1,AMAM,2023-02-16 19:20:00,2.7,2.77,2.69,2.73,386200
1,AMAM,2023-02-16 19:25:00,2.723,2.75,2.68,2.725,262500
1,AMAM,2023-02-16 19:30:00,2.725,2.75,2.71,2.75,143800
1,AMAM,2023-02-16 19:35:00,2.7595,2.76,2.72,2.73,150100
1,AMAM,2023-02-16 19:40:00,2.73,2.74,2.7,2.73,139200
1,AMAM,2023-02-16 19:45:00,2.7301,2.86,2.73,2.8201,712400
1,AMAM,2023-02-16 19:50:00,2.8211,2.84,2.65,2.7126,751200
1,AMAM,2023-02-16 19:55:00,2.712,2.74,2.6,2.6601,398700
1,AMAM,2023-02-16 20:00:00,2.655,2.69,2.6201,2.69,186100
1,AMAM,2023-02-16 20:05:00,2.69,2.75,2.6801,2.73,246500
1,AMAM,2023-02-16 20:10:00,2.7301,2.79,2.7,2.7532,225100
1,AMAM,2023-02-16 20:15:00,2.7518,2.8,2.72,2.77,124300
1,AMAM,2023-02-16 20:20:00,2.775,2.78,2.71,2.7477,258000
1,AMAM,2023-02-16 20:25:00,2.74,2.79,2.73,2.775,81100
1,AMAM,2023-02-16 20:30:00,2.775,2.82,2.775,2.815,251700
1,AMAM,2023-02-16 20:35:00,2.82,2.82,2.68,2.76,263600
1,AMAM,2023-02-16 20:40:00,2.7599,2.83,2.75,2.8199,371800
1,AMAM,2023-02-16 20:45:00,2.82,2.84,2.77,2.7713,338800
1,AMAM,2023-02-16 20:50:00,2.78,2.86,2.7,2.74,718300
1,AMAM,2023-02-16 20:55:00,2.73,2.79,2.68,2.73,510000
1,AMAM,2023-02-16 21:00:00,2.78,2.78,2.69,2.72,36100
1,AMAM,2023-02-16 21:05:00,2.72,2.72,2.72,2.72,2100
2,CYH,2023-02-16 18:05:00,7.68,7.72,7.63,7.69,178300
2,CYH,2023-02-16 18:10:00,7.69,7.76,7.64,7.6702,186700
2,CYH,2023-02-16 18:15:00,7.6702,7.81,7.67,7.778,184400
2,CYH,2023-02-16 18:20:00,7.78,7.84,7.741,7.83,196400
2,CYH,2023-02-16 18:25:00,7.83,7.93,7.81,7.81,281400
2,CYH,2023-02-16 18:30:00,7.8244,7.89,7.74,7.89,249500
2,CYH,2023-02-16 18:35:00,7.8817,7.9,7.76,7.78,155000
2,CYH,2023-02-16 18:40:00,7.772,7.82,7.73,7.75,104500
2,CYH,2023-02-16 18:45:00,7.745,7.77,7.71,7.745,149600
2,CYH,2023-02-16 18:50:00,7.745,7.745,7.61,7.72,152600
2,CYH,2023-02-16 18:55:00,7.725,7.73,7.65,7.665,55200
2,CYH,2023-02-16 19:00:00,7.665,7.725,7.6543,7.725,69600
2,CYH,2023-02-16 19:05:00,7.73,7.77,7.715,7.765,66400
2,CYH,2023-02-16 19:10:00,7.761,7.84,7.74,7.81,107700
2,CYH,2023-02-16 19:15:00,7.8012,7.85,7.78,7.83,118400
2,CYH,2023-02-16 19:20:00,7.828,7.86,7.76,7.855,81400
2,CYH,2023-02-16 19:25:00,7.8521,7.8696,7.825,7.825,62700
